153,12070,Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,Y
154,10462,Air Intersalonika,\N,,NSK,INTERSALONIKA,Greece,N
155,6901,Air Anatolia,\N,,NTL,AIR ANATOLIA,Turkey,N
156,2275,Air Saigon,\N,,SGA,AIR SAIGON,Vietnam,N
157,2573,Afrique Regional Airways,\N,,AFW,AFRAIR,Ivory Coast,N
158,7757,Airfreight Express,\N,,AFX, ,United Kingdom,N
159,4921,Africa Chartered Services,\N,,AFY,AFRICA CHARTERED,Nigeria,N
160,11876,Africa Freight Services,\N,,AFZ,AFREIGHT,Zambia,N
161,9282,Aeronaves Del Centro,\N,,AGA,,Venezuela,N
162,6226,Air Service Gabon,\N,G8,AGB,,Gabon,N
163,10714,Arab Agricultural Aviation Company,\N,,AGC,AGRICO,Egypt,N
164,10141,Atlantic Gulf Airlines,\N,,AGF,ATLANTIC GULF,United States,N
165,9306,Aerolitoral,\N,5D,SLI,COSTERA,Mexico,Y
166,2200,Algoma Airways,\N,,AGG,ALGOMA,Canada,N
167,6775,Altagna,\N,,AGH,ALTAGNA,France,N
168,9568,Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N
169,6371,Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,N
170,10029,AERFI Group,\N,,AGP,AIR TARA,Ireland,N
171,6381,Aerogala,\N,,AGQ,GALASERVICE,Chile,N
172,7933,Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,N
173,7258,Angara Airlines,\N,,AGU,SARMA,Russia,N
174,8800,Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,Y
175,8147,Aero Gambia,\N,,AGW,AERO GAMBIA,Gambia,N
176,10262,Aviogenex,\N,,AGX,GENEX,Serbia,Y
177,12049,Atlantic Coast Airlines,\N,,BLR,BLUE RIDGE,United States,N
178,677,Aero Barloz,\N,,BLZ,AEROLOZ,Mexico,N
179,2156,Aeroper,\N,PL,PLI,Aeroperu,Peru,Y
180,3351,Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,Y
181,1459,Aero Banobras,\N,,BNB,AEROBANOBRAS,Mexico,N
182,11533,Aero Flight Service,\N,,AGY,FLIGHT GROUP,United States,N
183,9306,Agrolet-Mci,\N,,AGZ,AGROLET,Slovakia,N
184,3769,Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark,N
185,12212,Azal Avia Cargo,\N,,AHC,AZALAVIACARGO,Azerbaijan,N
186,700,Airport Helicopter Basel,\N,,AHE, Muller & Co.,AIRPORT HELICOPTER,N
187,888,Aeroservices Corporate,\N,,CJE,BIRD JET,France,N
188,6257,Aspen Helicopters,\N,,AHF,ASPEN,United States,N
189,3949,Aerochago Airlines,\N,,AHG,AEROCHAGO,Dominican Republic,N
190,10148,Airplanes Holdings,\N,,AHH,AIRHOLD,Ireland,N
191,4372,Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong,N
192,10580,Aerochiapas,\N,,AHP,AEROCHIAPAS,Mexico,N
193,5764,Air Adriatic,\N,,AHR,ADRIATIC,Croatia,N
194,1245,Air Viggi San Raffaele,\N,,AHS,AIRSAR,Italy,N
195,10439,ABC Air Hungary,\N,,AHU,ABC HUNGARY,Hungary,N
196,3925,Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine,N
197,964,Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,Y
198,5848,Avies,\N,U3,AIA,AVIES,Estonia,Y
199,2768,Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France,N
200,6245,Alpine Air Chile,\N,,AIH,ALPINE CHILE,Chile,N
201,6796,Air Integra,\N,,AII,INTEGRA,Canada,N
202,8083,ABC Aerolineas,\N,,AIJ,ABC AEROLINEAS,Mexico,N
203,4763,African Airlines International Limited,\N,,AIK,AFRICAN AIRLINES,Kenya,N
204,6640,African International Airways,\N,,AIN,FLY CARGO,Swaziland,N
205,9726,Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States,N
206,3094,Alicante Internacional Airlines,\N,,AIU,ALIA,Spain,N
207,9555,Aba Air,\N,,ABP,BAIR,Czech Republic,N
208,1881,Airblue,\N,ED,ABQ,PAKBLUE,Pakistan,Y
209,8249,Airmark Aviation,\N,,THM,THAI AIRMARK,Thailand,N
210,10557,Airlift International,\N,,AIR,AIRLIFT,United States,Y
211,223,Airest,\N,,AIT, ,Estonia,N
212,5182,Air Baffin,\N,,BFF,AIR BAFFIN,Canada,N
213,8000,Air Bandama,\N,,BDM,BANDAMA,Ivory Coast,N
214,7959,Air Berlin,\N,AB,BER,AIR BERLIN,Germany,Y
215,11266,Air Brousse,\N,,ABT,AIR BROUSSE,Canada,N
216,3926,Air Contractors,\N,AG,ABR,CONTRACT,Ireland,N
217,3491,Air Illinois,\N,,AIL,AIR ILLINOIS,United States,N
218,7412,Air India Limited,\N,AI,AIC,AIRINDIA,India,Y
219,4643,Air Inter Gabon,\N,,AIG, ,Gabon,N
220,3025,Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,Y
221,1070,Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland,Y
222,338,Air Inuit,\N,,AIE,AIR INUIT,Canada,N
223,3937,Air Sureste,\N,,AIS,SURESTE,Spain,N
224,11384,Air Srpska,\N,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,3393,Air Tahiti Nui,\N,TN,THT,TAHITI AIRLINES,France,Y
226,2269,Airvias S/A Linhas Aereas,\N,,AIV,AIRVIAS,Brazil,N
227,8572,Aero Services Executive,\N,W4,BES,BIRD EXPRESS,France,N
228,5988,Atlantic Island Airways,\N,,AIW,TARTAN,Canada,N
229,3187,Aircruising Australia,\N,,AIX,CRUISER,Australia,N
230,6446,Aircrew Check and Training Australia,\N,,AIY,AIRCREW,Australia,N
231,5933,Arkia Israel Airlines,\N,IZ,AIZ,ARKIA,Israel,Y
232,6863,A J Services,\N,,AJA,AYJAY SERVICES,United Kingdom,N
233,2305,Aero JBR,\N,,AJB,AERO JBR,Mexico,N
234,8338,Aero Jet Express,\N,,AJE,JET EXPRESS,Mexico,N
235,12178,Avia Consult Flugbetriebs,\N,,AJF,AVIACONSULT,Austria,N
236,3854,Ameristar Jet Charter,\N,,AJI,AMERISTAR,United States,N
237,11009,A2 Jet Leasing,\N,,AJJ,ATLANTIC JET,United States,N
238,4886,Allied Air,\N,,AJK,BAMBI,Nigeria,N
239,3481,Air Jamaica,\N,JM,AJM,JAMAICA,Jamaica,Y
240,1854,Air One,\N,AP,ADH,HERON,Italy,Y
241,556,Air Sahara,\N,S2,RSH,SAHARA,India,Y
242,8698,Air Malta,\N,KM,AMC,AIR MALTA,Malta,Y
243,12283,Aeroejecutivo,\N,,AJO,AEROEXO,Mexico,N
244,12258,Aero Jets Corporativos,\N,,AJP,AEROJETS,Mexico,N
245,9244,Aeroejecutivos Colombia,\N,,AJS,AEROEJECUTIVOS,Colombia,N
246,9149,Amerijet International,\N,M6,AJT,AMERIJET,United States,N
247,8198,Air Jetsul,\N,,AJU,AIRJETSUL,Portugal,N
248,11811,ANA & JP Express,\N,,AJV,AYJAY CARGO,Japan,N
249,6256,Alpha Jet International,\N,,AJW,ALPHAJET,United States,N
250,12225,Air Japan,\N,NQ,AJX,AIR JAPAN,Japan,Y
251,5097,Ajet,\N,,AJY,AYJET,Cyprus,N
252,3101,Air Korea Co. Ltd.,\N,,AKA,,Republic of Korea,Y
253,851,Air Livonia,\N,,LIV,LIVONIA,Estonia,N
254,15,Air BC,\N,,ABL,AIRCOACH,Canada,N
255,6104,Air Fret Senegal,\N,,ABN, ,Senegal,N
256,109,Air Jamahiriya Company,\N,,LJA,AIR JAMAHIRIYA,Libya,N
257,953,Aktjubavia,\N,,AKB,KARAB,Kazakhstan,N
258,433,Arca Aerovias Colombianas Ltda.,\N,,AKC,ARCA,Colombia,N
259,4103,Anikay Air Company,\N,,AKF,ANIKAY,Kyrgyzstan,N
260,10910,Akhal,\N,,AKH,AKHAL,Turkmenistan,N
261,3438,Aeromilenio,\N,,MNI,AEROMIL,Mexico,N
262,9374,Aklak Air,\N,,AKK,AKLAK,Canada,N
263,12288,Air Kiribati,\N,4A,AKL,,Kiribati,Y
264,6319,Alkan Air,\N,,AKN,ALKAN AIR,Canada,N
265,8136,Angkor Airways,\N,,AKW,ANGKORWAYS,Cambodia,N
266,3723,Air Nippon Network Co. Ltd.,\N,EH,AKX,ALFA WING,Japan,N
267,9177,AK Navigator LLC,\N,,AKZ,ABSOLUTE,Kazakhstan,N
268,7047,Aero Albatros,\N,,ALB,ALBATROS,Mexico,N
269,12463,Albion Aviation,\N,,ALD,ALBION,United Kingdom,N
270,2721,Aeroalas Colombia,\N,,ALE,AEROALAS,Colombia,N
271,12274,Allied Command Europe (Mobile Force),\N,,ALF,ACEFORCE,Belgium,N
272,364,Aerotaxis Albatros,\N,,BTS,AEROLINEAS ALBATROS,Mexico,N
273,6723,American Flyers,\N,,FYS,AMERICAN FLYERS,United States,N
274,6323,Aero Coach Aviation,\N,,DFA,AERO COACH,United States,N
275,10864,Atlantic Southeast Airlines,\N,,CAA,Chandler,United States,N
276,11278,ACM Air Charter,\N,,BVR,BAVARIAN,Germany,N
277,2420,Air Logistics,\N,,ALG,AIRLOG,United States,N
278,3300,Aerovallarta,\N,,ALL,VALLARTA,Mexico,N
279,5544,Air ALM,\N,,ALM,ANTILLEAN,Netherlands Antilles,N
280,10916,Air Lincoln,\N,,ALN,CHICAGO LINCOLN,United States,N
281,4892,America West Airlines,\N,HP,AWE,CACTUS,United States,Y
282,9617,Air Wisconsin,\N,ZW,AWI,AIR WISCONSIN,United States,Y
283,10859,Aerotransporte de Carga Union,\N,,TNO,AEROUNION,Mexico,N
284,4878,Aero Taxis Cessna,\N,,TND,TAXIS CESSNA,Mexico,N
285,7899,Arizona Express Airlines,\N,,TMP,TEMPE,United States,N
286,6704,Tatarstan Airlines,\N,U9,TAK,TATARSTAN,Russia,Y
287,5100,Allegheny Commuter Airlines,\N,,ALO,ALLEGHENY,United States,Y
288,396,Alpliner AG,\N,,ALP,ALPINER,Switzerland,N
289,10147,Altair Aviation (1986),\N,,ALQ,ALTAIR,Canada,N
290,1426,Air Luxor STP,\N,,ALU,LUXORJET,Sao Tome and Principe,N
291,5021,Alas de Venezuela,\N,,ALV,ALVEN,Venezuela,N
292,12403,Alas Nacionales,\N,,ALW, S.A.,ALNACIONAL,N
293,2308,Alyeska Air Service,\N,,ALY,ALYESKA,United States,N
294,1181,Alta Flights (Charters) Ltd.,\N,,ALZ, ,Canada,N
295,9664,Air Sunshine,\N,,RSI,AIR SUNSHINE,United States,Y
296,8162,ATMA,\N,,AMA,ADIK,Kazakhstan,N
297,7252,Aerolineas Medellin,\N,,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,1558,Ameriflight,\N,,AMF,AMFLIGHT,United States,N
299,12255,Air Libert,\N,VD,,,France,Y
300,9272,Air Lithuania,\N,TT,KLA,KAUNAS,Lithuania,N
301,11910,Air Minas Linhas A,\N,,AMG,AIR MINAS,Brazil,N
302,11466,Alan Mann Helicopters Ltd.,\N,,AMH,MANN,United Kingdom,N
303,1727,Air Maldives,\N,,AMI,AIR MALDIVES,Maldives,N
304,7652,Aviation Amos,\N,,AMJ,AVIATION AMOS,Canada,N
305,5608,Amerer Air,\N,,AMK,AMER AIR,Austria,N
306,3197,Air Malawi,\N,QM,AML,MALAWI,Malawi,Y
307,63,Aeroputul International Marculesti,\N,,AMM,AEROM,Moldova,N
308,7195,Air Montenegro,\N,,AMN,MONTENEGRO,Montenegro,N
309,9277,Air Montreal (Air Holdings Inc.),\N,,AMO,AIR MONTREAL,Canada,N
310,7367,Aero Transporte S.A. (ATSA),\N,,AMP,ATSA,Peru,N
311,3999,Aeromedicare Ltd.,\N,,AMQ,LIFELINE,United Kingdom,N
312,5951,Air Sicilia,\N,BM,,,Italy,Y
313,12192,Air Specialties Corporation,\N,,AMR,AIR AM,United States,N
314,7713,Air Muskoka,\N,,AMS,AIR MUSKOKA,Canada,N
315,8636,ATA Airlines,\N,,AMT,AMTRAN,United States,Y
316,10173,Air Macau,\N,NX,AMU,AIR MACAO,Macao,Y
317,1264,AMC Airlines,\N,,AMV,,Egypt,Y
318,5593,Air Midwest,\N,ZV,AMW,AIR MIDWEST,United States,N
319,7926,Air Seychelles,\N,HM,SEY,SEYCHELLES,Seychelles,Y
320,2804,Air Sofia,\N,,SFB,AIR SOFIA,Bulgaria,N
321,8388,AeroM??xico,\N,AM,AMX,AEROMEXICO,Mexico,Y
322,2222,Air Ambar,\N,,AMY,AIR AMBAR,Dominican Republic,N
323,5727,Amiya Airline,\N,,AMZ,AMIYA AIR,Nigeria,N
324,8472,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,2644,Air Navigation And Trading Co. Ltd.,\N,,ANB,AIR NAV,United Kingdom,N
326,3482,Anglo Cargo,\N,,ANC,ANGLO,United Kingdom,N
327,5528,Air Nostrum,\N,YW,ANE,AIR NOSTRUM,Spain,Y
328,5909,Air Niugini,\N,PX,ANG,NUIGINI,Papua New Guinea,Y
329,1345,Air Arabia,\N,G9,ABY,ARABIA,United Arab Emirates,Y
330,5432,Air Canada,\N,AC,ACA,AIR CANADA,Canada,Y
331,4274,Airport Bratsk,\N,,BRP,AEROBRA,Russia,N
332,4910,Air Wings,\N,,BSB,ARBAS,Moldova,N
333,11229,Air Baltic,\N,BT,BTI,AIRBALTIC,Latvia,Y
334,12494,Alajnihah for Air Transport,\N,,ANH,ALAJNIHAH,Libya,N
335,10701,Air Atlantic (Nig) Limited,\N,,ANI,NIGALANTIC,Nigeria,N
336,7769,Air Nippon,\N,EL,ANK,ANK AIR,Japan,Y
337,8054,Antares Airtransport,\N,,ANM, Maintenance & Service GmbH,ANTARES,N
338,12283,Airnorth,\N,TL,ANO,TOPEND,Australia,Y
339,528,Aerol,\N,,ANQ,ANTIOQUIA,Colombia,N
340,3987,Andes Lineas Aereas,\N,,ANS,AEROANDES,Argentina,N
341,6129,Air North Charter - Canada,\N,4N,ANT,AIR NORTH,Canada,Y
342,7990,Air Nevada,\N,,ANV,AIR NEVADA,United States,N
343,4229,AOM French Airlines,\N,IW,AOM,French Lines,France,N
344,1900,Aviacion Del Noroeste,\N,,ANW, S.A. de C.V.,AVINOR,N
345,7857,Air New Zealand,\N,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,898,Avia Jaynar,\N,,SAP,TOBOL,Kazakhstan,N
347,11408,Aero Servicios Empresariales,\N,,EMS,SERVIEMPRESARIAL,Mexico,N
348,3356,Alcon Servicios Aereos,\N,,AOA, S.A. de C.V.,ALCON,N
349,374,AVCOM,\N,J6,AOC,AERO AVCOM,Russia,N
350,12111,Aero Vodochody,\N,,AOD,AERO CZECH,Czech Republic,N
351,8179,Air One Executive,\N,,AOE, ,Italy,N
352,7811,Atair Pty Ltd.,\N,,AOF,ATAIR,South Africa,N
353,9959,Aero VIP,\N,2D,AOG,AVIP,Argentina,N
354,12014,Aeromundo Ejecutivo,\N,,MUN,AEROMUNDO,Mexico,N
355,6757,Aerolinea Muri,\N,,MUR,MURI,Mexico,N
356,10223,Astoria,\N,,AOI, Inc.,ASTORIA,N
357,1988,Aero Rent JSC,\N,,NRO,AEROMASTER,Russia,N
358,5738,Aeronord-Grup,\N,,NRP,AERONORD,Moldova,N
359,1194,Aeroatlantico Colombia,\N,,AOK,,Colombia,N
360,11168,Angkor Airlines,\N,,AOL,ANGKOR AIR,Cambodia,N
361,10754,Aero Entreprise,\N,,AON,AERO ENTERPRISE,France,N
362,3080,As,\N,,AOO, Opened Joint Stock Company,COMPANY AS,N
363,10769,Aeropiloto,\N,,AOP,AEROPILOTO,Portugal,N
364,807,Aeroenlaces Nacionales,\N,,VIV,AEROENLACES,Mexico,N
365,2388,Aerovis Airlines,\N,,VIZ,AEROVIZ,Ukraine,N
366,11935,Avjet International (FZE),\N,,VJE,,United Arab Emirates,N
367,3208,Aerovista Gulf Express,\N,,VGF,VISTA GULF,United Arab Emirates,N
368,6912,Air Vegas,\N,6V,VGA,AIR VEGAS,United States,N
369,9375,Almaver,\N,,VER,ALMAVER,Mexico,N
370,3923,Afro International Ent. Limited,\N,,AOR,INTER-AFRO,Nigeria,N
371,2528,Alitalia Express,\N,XM,SMX,ALIEXPRESS,Italy,Y
372,3411,Asia Overnight Express,\N,OE,AOT,ASIA OVERNIGHT,Philippines,N
373,3389,Air Tractor,\N,,AOU,AIR TRACTOR,Croatia,N
